epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.919,0.12379,1.87338,0.95096,0.87209,0.87954,0.93034,0.92602,0.14869,0.74391,0.14974,0.000114841,0.000114841,0.000114841
2,223.886,0.06151,0.41503,0.90857,0.92233,0.92426,0.9772,0.96703,0.19853,0.89056,0.15932,0.000207087,0.000207087,0.000207087
3,340.891,0.06021,0.29134,0.90346,0.93888,0.94227,0.98201,0.97419,0.20723,1.05664,0.16657,0.000276563,0.000276563,0.000276563
4,453.908,0.05318,0.22531,0.90113,0.96408,0.96736,0.98889,0.98002,0.22699,1.07038,0.17971,0.000242535,0.000242535,0.000242535
5,569.476,0.04616,0.1722,0.90112,0.97364,0.96153,0.99167,0.97945,0.21817,1.1896,0.17954,0.00020838,0.00020838,0.00020838
6,684.456,0.04043,0.13774,0.89925,0.975,0.97649,0.99219,0.98157,0.22713,1.19692,0.19024,0.000174225,0.000174225,0.000174225
7,801.763,0.03585,0.11088,0.89878,0.98563,0.98695,0.99388,0.98647,0.22447,1.30629,0.18878,0.00014007,0.00014007,0.00014007
8,915.485,0.03123,0.08787,0.8983,0.9854,0.98953,0.99392,0.98495,0.22294,1.23773,0.19091,0.000105915,0.000105915,0.000105915
9,1029.83,inf,0.07135,0.89807,0.99264,0.99322,0.99457,0.98519,0.21686,1.36045,0.18538,7.176e-05,7.176e-05,7.176e-05
10,1145.44,0.02288,0.05586,0.89725,0.99283,0.99396,0.99447,0.98654,0.2258,1.24335,0.20493,3.7605e-05,3.7605e-05,3.7605e-05
